City ID,City,Country,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
1278455,Jamkhed,IN,18.7362,75.3121,79.81,69,15,16.51
2082539,Merauke,ID,-8.4667,140.3333,84.09,73,27,12.77
3430863,Mar del Plata,AR,-38.0023,-57.5575,50.13,52,87,8.01
3622547,Paraíso,CR,9.8383,-83.8656,67.24,98,98,1.45
286245,Sur,OM,22.5667,59.5289,88.12,63,0,6.58
2015913,Suntar,RU,62.1444,117.6319,59.7,33,64,7.45
101312,Turaif,SA,31.6725,38.6637,68.25,45,0,8.05
2062276,Roebourne,AU,-20.7833,117.1333,73.11,61,93,10.56
3372964,Lagoa,PT,39.05,-27.9833,65.55,86,19,3.44
3372707,Ribeira Grande,PT,38.5167,-28.7,67.1,87,57,2.57
2126123,Chokurdakh,RU,70.6333,147.9167,64.27,27,39,14.99
3386213,Touros,BR,-5.1989,-35.4608,74.3,85,94,10.83
1275572,Bindki,IN,26.0333,80.6,94.66,43,82,12.93
1309937,Pyn U Lwin,MM,22.0333,96.4667,69.91,88,100,2.48
6319623,Taguatinga,BR,-12.3857,-46.5711,75.51,45,98,1.57
3379316,Lethem,GY,3.3803,-59.7968,74.62,85,84,4.43
5051902,Waseca,US,44.0777,-93.5074,77.76,66,75,11.01
2019135,Nizhniy Kuranakh,RU,58.8353,125.4869,55.29,78,100,6.29
2449893,Tessalit,ML,20.1986,1.0114,91.11,11,0,7.45
6164499,The Pas,CA,53.8251,-101.2541,57.22,100,90,0.0
5847411,Kahului,US,20.8947,-156.47,83.75,59,40,24.16
60019,Eyl,SO,7.9803,49.8164,78.31,66,68,22.32
704422,Krasnoarmiys'k,UA,48.282,37.1758,59.16,92,24,6.38
2654970,Brae,GB,60.3964,-1.353,49.91,80,100,21.56
1506834,Filimonovo,RU,56.2011,95.4611,58.62,49,10,9.78
2057087,Kupang,ID,-10.1667,123.5833,86.58,62,20,13.8
5367788,Lompoc,US,34.6391,-120.4579,61.93,65,1,18.41
1264570,Madhipura,IN,25.9167,86.7833,76.32,95,98,16.2
3894426,Coyhaique,CL,-45.5752,-72.0662,51.75,76,20,8.05
2094027,Kieta,PG,-6.2167,155.6333,86.32,64,13,7.76
3893726,Constitución,CL,-35.3333,-72.4167,56.05,85,7,7.02
5275191,Superior,US,46.7208,-92.1041,52.43,97,90,4.61
